file_name,file_path,file_type,size,album,artist,title,year,genre,duration,track,bitrate
GIN - 过去.现在.将来...mp3,./Music/手机music/GIN - 过去.现在.将来...mp3,.mp3,3483715,,GIN,过去.现在.将来..,,Other,217.70136510106437,,128.0
GIN - 願桜.mp3,./Music/手机music/GIN - 願桜.mp3,.mp3,4046285,MaHaLo,GIN,願桜,,,252.86530612244897,,128.0049070247934
gomenasai.mp3,./Music/手机music/gomenasai.mp3,.mp3,5641966,,,gomenasai,,,222.7983673469388,,202.58554197444013
helena paparizou - mambo!.mp3,./Music/手机music/helena paparizou - mambo!.mp3,.mp3,2992970,Yparxei logos hellas greek °®ÇéÓÐÀí,Helena Paparizou,Mambo!,,Other,187.19749784971458,,128.0
hotel california (1).mp3,./Music/手机music/hotel california (1).mp3,.mp3,11985138,Hell Freezes Over,ÀÏÓ¥ÀÖ¶Ó,¼ÓÖÞÂÃ¹Ý£¨ÀÏÓ¥ÀÖ¶Ó£©,1994,Other,432.0914285714286,6,221.8123518831993
Kelly Sweet - We Are One.mp3,./Music/手机music/Kelly Sweet - We Are One.mp3,.mp3,8656267,We Are One,Kelly Sweet,We Are One,,,216.1928407224959,,320.0
lonely.mp3,./Music/手机music/lonely.mp3,.mp3,11073536,Nana,Nana,Lonely,1997,Pop,381.23102040816326,6,232.32854426476635
Love The Way You Lie.mp3,./Music/手机music/Love The Way You Lie.mp3,.mp3,4223127,Recovery,Eminem,Love The Way You Lie,2010-06-21,,263.749847525217,,128.0
merry christmas mr. lawrence 钢琴 小提琴版.mp3,./Music/手机music/merry christmas mr. lawrence 钢琴 小提琴版.mp3,.mp3,6919396,,,merry christmas mr. lawrence 钢琴 小提琴版,,Other,288.3559954677468,,192.0
my hart will go on 泰坦尼克号.mp3,./Music/手机music/my hart will go on 泰坦尼克号.mp3,.mp3,4315062,,,my hart will go on 泰坦尼克号,,,308.3059170276425,,112.0
North Line.mp3,./Music/手机music/North Line.mp3,.mp3,3348014,MaHaLo,GIN,North Line,2011-12-01,,208.3265306122449,,128.00597178683384
over the way .mp3,./Music/手机music/over the way .mp3,.mp3,4277940,Over The Way,»Æ½¨Îª,Over the Way,,Blues,267.46511659714145,,128.0
Petteri Sariola - Prime.mp3,./Music/手机music/Petteri Sariola - Prime.mp3,.mp3,3237928,,Petteri Sariola,Prime,,,202.53655485182577,,128.0
pokerface-lady gaga.mp3,./Music/手机music/pokerface-lady gaga.mp3,.mp3,9522923,,pokerface,lady gaga,,Other,238.063475,,320.0
power's out.mp3,./Music/手机music/power's out.mp3,.mp3,3976489,Killer Love,nicole scherzinger,power's out,,,248.51921337228043,,128.0
s.h.e - 我们怎么了.mp3,./Music/手机music/s.h.e - 我们怎么了.mp3,.mp3,3963174,FOREVER,S.H.E,§Ú­Ì«ç»ò¤F,,Other,247.77530690437095,3,128.0
Sandra Bae - (Timbaland)apologize.mp3,./Music/手机music/Sandra Bae - (Timbaland)apologize.mp3,.mp3,3141294,,Sandra Bae,(Timbaland)apologize,,Other,196.32,,128.0
sara - 即使知道要见面.mp3,./Music/手机music/sara - 即使知道要见面.mp3,.mp3,3822191,Girl Friend ¿áÖíÒôÀÖ[kupig.cn],sara,¼´Ê¹ÖªµÀÒª¼ûÃæ,,Pop,239.42840698869477,5,128.0
somalia 1993 - hunger is the weapon.mp3,./Music/手机music/somalia 1993 - hunger is the weapon.mp3,.mp3,15833514,Black Hawk Down Complete Score Disc 1,Hans Zimmer,Somalia 1993 - Hunger Is The Weapon,2001,Soundtrack,395.78079999999994,1,320.0
Someday 押尾桑.mp3,./Music/手机music/Someday 押尾桑.mp3,.mp3,6959104,Tussie mussie,押尾桑,someday,2009,Synthpop,289.8856075253068,7,192.0
sunflower  ring.mp3,./Music/手机music/sunflower  ring.mp3,.mp3,3335070,,,sunflower ring,,Other,208.41064739771505,,128.0
sunflower 孙培博.mp3,./Music/手机music/sunflower 孙培博.mp3,.mp3,3334234,,,sunflower 孙培博,,Other,208.35840249975587,,128.0
Taru - Kiss Kiss.mp3,./Music/手机music/Taru - Kiss Kiss.mp3,.mp3,4053971,,Taru,Kiss Kiss   ,0,,253.9479782704449,,128.0
Taylor Swift - love story.mp3,./Music/手机music/Taylor Swift - love story.mp3,.mp3,3783964,Fearless,Taylor Swift,Love Story,2008,Country,236.32375611805276,3,128.0
Telephone - 日本传统乐器演奏的.mp3,./Music/手机music/Telephone - 日本传统乐器演奏的.mp3,.mp3,3884648,,Telephone,日本传统乐器演奏的,,,242.8664979826301,,128.0
trouble is a friend-lenka.mp3,./Music/手机music/trouble is a friend-lenka.mp3,.mp3,3483399,,trouble is a friend,Ñý¾«±¦±¦ _ ÐÂÀË²©¿Í,,Blues,217.78738386690242,,128.0
wake me up when september ends .mp3,./Music/手机music/wake me up when september ends .mp3,.mp3,4573312,American Idiot,Green Day,Wake Me Up When September Ends,2004,Punk,285.9730080537962,11,128.0
Yanni - 和兰花在一起.mp3,./Music/手机music/Yanni - 和兰花在一起.mp3,.mp3,7426843,·ï»ËÎÀÊÓÌìÆøÔ¤±¨±³¾°ÒôÀÖ,YanniÑÅÄá,ºÍÀ¼»¨Ò»Æð,2000,New Age,309.3379578817173,5,192.0
yiruma - passing by.mp3,./Music/手机music/yiruma - passing by.mp3,.mp3,4424970,First Love,Yiruma - First Love,Passing By,2001,New Age,277.1591836734694,5,128.0
You Belong With Me.mp3,./Music/手机music/You Belong With Me.mp3,.mp3,3828090,,Taylor Swift,You Belong With Me,,Other,231.86635680109364,,128.0
[andy mckee]Rylynn-Andy McKee.mp3,./Music/手机music/[andy mckee]Rylynn-Andy McKee.mp3,.mp3,7819328,Art of Motion,Andy McKee,Rylynn,2005,Acoustic,313.75673469387755,12,199.36974440096577
[]Zakhaev's Exchange.mp3,./Music/手机music/[]Zakhaev's Exchange.mp3,.mp3,5626047,Call of Duty 4: Modern Warfare,,Zakhaev's Exchange,,Blues,234.34773947856652,,192.0
[久石让]幽灵公主-久石让.mp3,./Music/手机music/[久石让]幽灵公主-久石让.mp3,.mp3,4465024,ÓÄÁé¹«Ö÷,¾ÃÊ¯ÈÃ,Ashitaka Sekki,,Anime,279.1463154912515,1,128.0
[张震岳]Bye-Bye-张震岳.mp3,./Music/手机music/[张震岳]Bye-Bye-张震岳.mp3,.mp3,4274571,°¢ÔÀÕý´«,ÕÅÕðÔÀ,Bye-Bye,2004,Pop,266.99837633473686,3,128.0
[徐誉滕]徐誉滕-Lilei&Hanmeimei.mp3,./Music/手机music/[徐誉滕]徐誉滕-Lilei&Hanmeimei.mp3,.mp3,7074377,,[徐誉滕]徐誉滕,Lilei&Hanmeimei,,,294.7315926179084,,192.0
[汪峰]信仰在空中飘扬-汪峰.mp3,./Music/手机music/[汪峰]信仰在空中飘扬-汪峰.mp3,.mp3,7021757,ÐÅÑöÔÚ¿ÕÖÐÆ®Ñï,Íô·å,ÐÅÑöÔÚ¿ÕÖÐÆ®Ñï,,Other,438.973054969114,,128.0
【原版指弹】You are not alone - Paddy Sun 孙培博.mp3,./Music/手机music/【原版指弹】You are not alone - Paddy Sun 孙培博.mp3,.mp3,2568951,,【原版指弹】You are not alone,Paddy Sun 孙培博,,Other,160.53288546040426,,128.0
ひこうき雲.mp3,./Music/手机music/ひこうき雲.mp3,.mp3,8118887,,ost,ひこうき雲,,,202.99996170783078,,320.0
ナユタ.mp3,./Music/手机music/ナユタ.mp3,.mp3,5064743,10th Anniversary BEST,押尾コータロー,ナユタ,2011-06-22,,316.5860122507595,,128.0
一年后.mp3,./Music/手机music/一年后.mp3,.mp3,3324386,韩国MelOn下载排行TOP100(之三),褐眼男子,一年后,2007-05-27,Other,206.96304636797248,,128.0
丁于 - 相亲相爱 - 伴奏.mp3,./Music/手机music/丁于 - 相亲相爱 - 伴奏.mp3,.mp3,5980194,11,¶¡ÓÚ,ÏàÇ×Ïà°® (°é×à),,,373.59311908671515,,128.0
三国恋.mp3,./Music/手机music/三国恋.mp3,.mp3,5905342,Fighting£¡Éú´æÖ®µÀ (¹Ú¾üÇì¹¦³¬Öµ°æ),Tank,Èý¹úÁµ,2006,Pop,246.23020408163265,3,191.81549305113515
上海一九四三.mp3,./Music/手机music/上海一九四三.mp3,.mp3,3134704,·¶ÌØÎ÷,ÖÜ½ÜÂ×,ÉÏº£Ò»¾ÅËÄÈý,2001,Pop,195.98564296949033,,128.0
不潮不用花钱.wma,./Music/手机music/不潮不用花钱.wma,.wma,1903865,陸,林俊傑,不潮不用花錢,2008,Limpid_瀞's Collection,234.613,,64.024
不能说的秘密.mp3,./Music/手机music/不能说的秘密.mp3,.mp3,4765197,²»ÄÜËµµÄÃØÃÜ,ÖÜ½ÜÂ×:www.jayqq.com,²»ÄÜËµµÄÃØÃÜ,2007,Other,297.6741845038638,,128.0
世界末日.mp3,./Music/手机music/世界末日.mp3,.mp3,4282811,Fantasy Plus Ep,周杰伦,世界末日,2001-12-01,,265.58358749914515,,128.0
东风破.mp3,./Music/手机music/东风破.mp3,.mp3,5048192,Ò¶»ÝÃÀ,ÖÜ½ÜÂ×,¶«·çÆÆ,2003,,315.504,5,128.0
丝路.mp3,./Music/手机music/丝路.mp3,.mp3,7227392,Ë¿Â·,Áº¾²Èã,Ë¿Â·,2005,Pop,301.4791836734694,1,191.72661706091327
云中杉 ring.mp3,./Music/手机music/云中杉 ring.mp3,.mp3,3832024,,,云中杉 ring,,Other,239.4672395273899,,128.0
云中杉-孙培博.mp3,./Music/手机music/云中杉-孙培博.mp3,.mp3,3852780,,云中杉,孙培博,,,240.8804290696652,,128.0
人生的旋转木马.mp3,./Music/手机music/人生的旋转木马.mp3,.mp3,5349784,¾ÃÊ¯ÈÃ¡¶ÇÙ»°ÃàÃà×î°®¾«Ñ¡¡·,ÇÒ½«»¨Ó°Ëé,ÈËÉúµÄÐýÞDÄ¾ñR -Piano Solo Ver,2008,,267.5078788636435,13,160.0
以父之名.mp3,./Music/手机music/以父之名.mp3,.mp3,8212480,¸­´f¬ü,©PªN­Û,¥H¤÷¤§¦W,2003,Pop,342.20137269968615,1,192.0
会呼吸的痛.mp3,./Music/手机music/会呼吸的痛.mp3,.mp3,4393471,³ç°Ý ,Áº¾²Èã,»áºôÎüµÄÍ´,2007,Pop,274.30115027829316,4,128.0
佚名 - dance to the death(钢琴曲).mp3,./Music/手机music/佚名 - dance to the death(钢琴曲).mp3,.mp3,6340189,,纯音乐,dance to the death,,,264.18256124402535,,192.0
你不是真正的快乐.mp3,./Music/手机music/你不是真正的快乐.mp3,.mp3,7329904,后青春期的诗,五月天,你不是真正的快乐,2008-10-23,,300.12621924607697,,192.0
你是我心内的一首歌.mp3,./Music/手机music/你是我心内的一首歌.mp3,.mp3,3844096,¸Ä±ä×Ô¼º ËÑÀ²EP - È«Çò»ªÓïDemoÒôÀÖÍø www.sosolala.com,ÍõÁ¦ºê,ÄãÊÇÎÒÐÄÄÚµÄÒ»Ê×¸è,2007,Other,166.7395918367347,6,184.31754367068777
你是我心爱的姑娘.wma,./Music/手机music/你是我心爱的姑娘.wma,.wma,2440381,更多好听音乐请访问520music.com,汪峰,11.你是我心爱的姑娘,我爱音乐网 [www.520music.com],更多音乐请访问520music.com,299.31,11,64.024
你最近还好吗.mp3,./Music/手机music/你最近还好吗.mp3,.mp3,3995776,¶·Å£.Òª²»Òª ËÑÀ²EP - È«Çò»ªÓïDemoÒôÀÖÍø www.sosolala.com,S.H.E,Äã×î½ü»¹ºÃÂð,2007,Pop,249.86685432793806,7,128.0
候鸟.mp3,./Music/手机music/候鸟.mp3,.mp3,4552794,,,候鸟,,Other,284.770349519118,,128.0
关喆 - 想你的夜.mp3,./Music/手机music/关喆 - 想你的夜.mp3,.mp3,5659115,永远的永远,关喆,02.想你的夜,2009,Pop,266.00489795918367,2,170.05891375331436
再见 警察.mp3,./Music/手机music/再见 警察.mp3,.mp3,2793472,ÎÞ¼äµÀµçÓ°Ô­Éù´óµú,ÎÞ¼äµÀµçÓ°Ô­Éù´óµú,ÔÙ¼û...¾¯²ì...ÔÙ¼û,2003,Other,116.25968818149269,12,192.0
再见.mp3,./Music/手机music/再见.mp3,.mp3,4520789,ÔÙ¼û                          ,ÕÅÕðÔÀ                        ,ÔÙ¼û                          ,2005,Pop,183.84979591836733,1,196.70274758454107
分手快乐.mp3,./Music/手机music/分手快乐.mp3,.mp3,4421292,Sunrise£¬ÎÒÏ²»¶,Áº¾²Èã,·ÖÊÖ¿ìÀÖ                      ,2002,Pop,276.2501474465384,32,128.0
分裂.mp3,./Music/手机music/分裂.mp3,.mp3,4043464,°Ë¶È¿Õ¼ä,ÖÜ½ÜÂ×,·ÖÁÑ,2002,Pop,252.77858559412275,6,128.0
刘德华 - 忘情水.mp3,./Music/手机music/刘德华 - 忘情水.mp3,.mp3,4676488,,ÁõµÂ»ª,ÍüÇéË®,,,263.9934693877551,,141.46313576093408
励航泉8次课131029.MP3,./Music/手机music/励航泉8次课131029.MP3,.MP3,84061268,,,励航泉8次课131029,,,5253.82125,,128.0
北京一夜.mp3,./Music/手机music/北京一夜.mp3,.mp3,5905473,±ðÈÃÎÒ¿Þ                      ,³ÂÉý                          ,±±¾©Ò»Ò¹                      ,2000,,369.2246851828333,,128.0
十万人家.mp3,./Music/手机music/十万人家.mp3,.mp3,4110673,,Ì·¾§,Ê®ÍòÈË¼Ò,,Other,256.7508484676781,1,128.0
十年.mp3,./Music/手机music/十年.mp3,.mp3,4913076,Æß,³ÂÒàÑ¸,Ê®Äê,2003,Pop,204.74082023364548,7,192.0
千里之外.mp3,./Music/手机music/千里之外.mp3,.mp3,8263875,ÒÀÈ»¹ ÌØÎ÷,ÖÜ½Ü£ÛZhou Jie Lun£Ý,Ç§ÀïÖ®Íâ,2006,Á÷ÐÐÒô·,256.36571428571426,3,257.74987963623397
半兽人.wma,./Music/手机music/半兽人.wma,.wma,2003587,八度空间,周杰伦,半兽人/周杰伦 八度空间 POP,,Pop,247.352,1,64.024
半岛铁盒.mp3,./Music/手机music/半岛铁盒.mp3,.mp3,5081088,°Ë¶È¿Õ¼ä,(±±·½Ê±¿Õ)ÖÜ½ÜÂ×,°ëµºÌúºÐ,2002,Pop,317.5610711110677,2,128.0
可爱女人.mp3,./Music/手机music/可爱女人.mp3,.mp3,1914200,,周杰伦,可爱女人,,,239.55988807795413,,64.0
可风.mp3,./Music/手机music/可风.mp3,.mp3,6830447,¸ßÐËÊÕ²Ø,¸ßÐËÊÕ²Ø,¿É·ç,2006,Other,278.9101510227148,4,196.1114982578397
周杰伦 - 安静.mp3,./Music/手机music/周杰伦 - 安静.mp3,.mp3,4624384,2002¿ûµ^ÅÊ¦±,©PªN­Û,¦wÀR,2002,Goa,288.9459227635525,0,128.0
周杰伦 - 对不起.mp3,./Music/手机music/周杰伦 - 对不起.mp3,.mp3,4509696,·¶ÌØÎ÷,ÖÜ½ÜÂ×,07.¶Ô²»Æð,2001,Pop,225.4579366815639,,160.0
周杰伦 - 枫.Wma,./Music/手机music/周杰伦 - 枫.Wma,.Wma,2256054,十一月的萧邦,周杰伦,枫,,,277.0,,64.024
周杰伦 - 珊瑚海.mp3,./Music/手机music/周杰伦 - 珊瑚海.mp3,.mp3,4109418,KÇé¸è 5,ÈºÐÇ,Éºº÷º£,,Other,256.79530846821484,,128.0
周杰伦 - 皮影戏.mp3,./Music/手机music/周杰伦 - 皮影戏.mp3,.mp3,3381689, ,周杰伦,皮影戏,,,211.45997341465323,,128.0
周杰伦 - 青花瓷.mp3,./Music/手机music/周杰伦 - 青花瓷.mp3,.mp3,3835033,,ÖÜ½ÜÂ×,Çà»¨´É,2007,Other,239.51678471292777,3,128.0
回到过去.mp3,./Music/手机music/回到过去.mp3,.mp3,3706880,°Ë¶È¿Õég,ÖÜ½Ü,»Øµ½¹ýÈ¥,2002,Pop,231.61158644405583,,128.0
在雨中.mp3,./Music/手机music/在雨中.mp3,.mp3,4788875,°®ÊÇÒ»¿ÅÐÒ¸£µÄ×Óµ¯,Íô·å,ÔÚÓêÖÐ,2002,Rock,299.2978966299163,1,128.0
士兵突击 里的吉他曲2.mp3,./Music/手机music/士兵突击 里的吉他曲2.mp3,.mp3,1642624,,,¡¶Ê¿±øÍ»»÷¡·ÀïµÄ¼ªËûÇú2,,Other,102.39000097646714,,128.0
夜曲.mp3,./Music/手机music/夜曲.mp3,.mp3,1787904,Ê®Ò»ÔÂµÄÏô°î,ÖÜ½ÜÂ×,Ò¹Çú,2005£­11£­1,Pop,223.27294600136705,1,64.0
夜的第七章.mp3,./Music/手机music/夜的第七章.mp3,.mp3,3659615,JayFan.Com ÖÜ½ÜÂ×¸èÃÔÍø,JayFan.Com ÖÜ½ÜÂ×¸èÃÔÍø,夜的第七章,,Other,228.7631265814128,1,128.0
天灰.mp3,./Music/手机music/天灰.mp3,.mp3,3908399,²»Ïë³¤´ó,S.H.E,Ìì»Ò,,Pop,244.0526270687997,,128.44599303135888
孙培博 - sunflower.mp3,./Music/手机music/孙培博 - sunflower.mp3,.mp3,3334234,,孙培博,sunflower,,Other,208.35840249975587,,128.0
孙培博 - You are not alone.mp3,./Music/手机music/孙培博 - You are not alone.mp3,.mp3,2568951,,孙培博,You are not alone,,Other,160.53288546040426,,128.0
安静.mp3,./Music/手机music/安静.mp3,.mp3,5347279,,,安静,,,334.16430426716136,,128.0
寂寞的季节.mp3,./Music/手机music/寂寞的季节.mp3,.mp3,4755280,ÀÖÖ®Â·1997-2003,ÌÕ´,¼ÅÄ¯µÄ¼¾½Ú,2003,Pop,221.76856336315757,12,171.73519163763066
岸部真明 - Morning Glory.mp3,./Music/手机music/岸部真明 - Morning Glory.mp3,.mp3,2354943,,°¶²¿ÕæÃ÷,Morning glory,,Other,117.75178923024033,,160.0
岸部真明 - Time Travel.mp3,./Music/手机music/岸部真明 - Time Travel.mp3,.mp3,10157794,12 Stories,Masaaki Kishibe£¨www.mtyyw.com,Time travel(ÂóÌïÒôÀÖÍø),2009,,254.01408370355608,3,320.0
岸部真明 - Truth.mp3,./Music/手机music/岸部真明 - Truth.mp3,.mp3,5040407,Î´Öª×¨¼­                      ,Î´ÖªÒÕÈË                      ,08 TRUTH                      ,2005,Blues,315.7157930798219,,128.0
岸部真明 - Winter.mp3,./Music/手机music/岸部真明 - Winter.mp3,.mp3,3920197,Growing Up,°¶²¿ÕæÃ÷,Winter,,,243.70512158886544,,128.0
岸部真明 - 夏の终わりの海.mp3,./Music/手机music/岸部真明 - 夏の终わりの海.mp3,.mp3,3396714,,°¶²¿ÕæÃ÷,ÏÄ¤Î½K¤ï¤ê¤Îº£,,Other,169.8452229896553,,160.0
岸部真明 - 奇迹の山.mp3,./Music/手机music/岸部真明 - 奇迹の山.mp3,.mp3,6463506,ÐýÂÉÖí,ÐýÂÉÖí-ÔÂÔÂ,Ææ¼£¤ÎÉ½°¶²¿ÕæÃ÷,2006,,269.36704218381675,,192.0
岸部真明 - 树冰の辉き.mp3,./Music/手机music/岸部真明 - 树冰の辉き.mp3,.mp3,4680762,ÆæÛE¤ÎÉ½,Masaaki Kishibe,äê¤ÎÝx¤­,,Other,195.05892710626054,13,192.0
岸部真明 - 流れ行く云.mp3,./Music/手机music/岸部真明 - 流れ行く云.mp3,.mp3,6153408,°¶²¿ÕæÃ÷,Masaaki Kishibe,Á÷¤ìÐÐ¤¯ë,,Other,256.4327624604405,7,192.0
岸部真明 - 花.mp3,./Music/手机music/岸部真明 - 花.mp3,.mp3,3925414,,°¶²¿ÕæÃ÷,»¨,,Other,196.28270150326594,,160.0
布袋寅泰 - Battle Without Honor Or Humanity.mp3,./Music/手机music/布袋寅泰 - Battle Without Honor Or Humanity.mp3,.mp3,3589773,É±ËÀ±È¶û CD1                  ,"SOIL&PIMPSESSIONS,²¼´ü ÒúÌ©   ",BATTLE WITHOUT HONOR OR HUMANITY,2003,µçÓ°Ô­Éù¡¾Movie Soundtrack¡¿,148.77414010913876,21,192.0
开不了口.mp3,./Music/手机music/开不了口.mp3,.mp3,9722175,·¶ÌØÎ÷ - joe,joe590[www.needpop.com ÖÁÛÒô·Õ¯],¿ª²»ÁË¿Ú_ÖÜ½ÜÂ× - joe,joe,joe590[www.needpop.com ÖÁÛÒô·Õ¯],285.0220408163265,,272.7953521675374
